Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-32697,Corrupted email attachments received internally,Failure,John Cena,John Cena,Matrix,Service C,New,Medium,Critical,High,Medium,2025-12-23T21:14:25.000000,,,0,3,Tuesday,1,,,,0,2025-52
CR-32698,User not receiving password reset email,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Low,High,High,High,2025-12-23T08:35:13.000000,2025-12-23T10:35:13.000000,2025-12-23T23:35:13.000000,0,2,Tuesday,1,2.0,13.0,15.0,1,2025-52
CR-32699,Incorrect permissions on shared folder causing access denied,Hardware,Batman,Batman,Matrix,Service A,Closed,Low,High,High,Medium,2025-12-23T20:26:52.000000,2025-12-24T00:26:52.000000,2025-12-24T23:26:52.000000,0,2,Tuesday,1,4.0,23.0,27.0,1,2025-52
CR-32700,Delayed message delivery in internal chat system,Hardware,Loki,Loki,Avengers,Service B,Closed,Low,High,High,Low,2025-12-23T02:13:36.000000,2025-12-23T10:13:36.000000,2025-12-23T22:13:36.000000,0,3,Tuesday,1,8.0,12.0,20.0,1,2025-52
CR-32701,Network latency observed between data center and branch office,Facilities,Thor,Thor,Avengers,Service A,Closed,High,Critical,High,High,2025-12-23T14:07:35.000000,2025-12-23T17:07:35.000000,2025-12-23T21:07:35.000000,1,4,Tuesday,0,3.0,4.0,7.0,0,2025-52
CR-32702,Intermittent packet loss on WAN link,Software,Captain America,Captain America,Avengers,Service C,Closed,Low,High,High,High,2025-12-23T11:33:17.000000,2025-12-23T14:33:17.000000,2025-12-24T12:33:17.000000,0,2,Tuesday,1,3.0,22.0,25.0,1,2025-52
CR-32703,File restore from backup failed for requested folder,Hardware,Hulk,Hulk,Avengers,Service A,Closed,Medium,Critical,High,High,2025-12-23T09:11:26.000000,2025-12-23T15:11:26.000000,2025-12-24T01:11:26.000000,0,3,Tuesday,1,6.0,10.0,16.0,1,2025-52
CR-32704,Network printer not visible in device list,Access,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Medium,Low,Medium,2025-12-23T07:14:43.000000,2025-12-23T15:14:43.000000,2025-12-24T12:14:43.000000,1,2,Tuesday,0,8.0,21.0,29.0,0,2025-52
CR-32705,Broken link on intranet home page,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-12-23T07:47:38.000000,2025-12-23T14:47:38.000000,2025-12-25T02:47:38.000000,0,1,Tuesday,1,7.0,36.0,43.0,1,2025-52
CR-32706,Scheduled report not generated or delivered,Failure,Thor,Thor,Avengers,Service B,In Progress,Low,Critical,High,High,2025-12-23T02:35:44.000000,2025-12-23T07:35:44.000000,,0,5,Tuesday,1,5.0,,,0,2025-52
CR-32707,Application response time extremely slow for multiple users,Network,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Medium,High,High,Low,2025-12-23T15:46:15.000000,2025-12-23T23:46:15.000000,2025-12-24T23:46:15.000000,0,3,Tuesday,1,8.0,24.0,32.0,1,2025-52
CR-32708,Printer not printing documents from any workstation,Network,Doctor Strange,Doctor Strange,Avengers II,Service C,New,Medium,Medium,Medium,Medium,2025-12-23T01:53:17.000000,,,0,1,Tuesday,1,,,,0,2025-52
CR-32709,Barcode scanner not transmitting data to system,Access,Captain America,Captain America,Avengers,Service C,Closed,Low,Critical,High,High,2025-12-23T16:06:30.000000,2025-12-23T20:06:30.000000,2025-12-24T05:06:30.000000,1,4,Tuesday,0,4.0,9.0,13.0,1,2025-52
CR-32710,Batch job failed to complete overnight,Software,Hulk,Hulk,Avengers,Service B,Closed,High,Critical,High,High,2025-12-23T07:45:48.000000,2025-12-23T12:45:48.000000,2025-12-23T16:45:48.000000,0,5,Tuesday,1,5.0,4.0,9.0,0,2025-52
CR-32711,Barcode scanner not transmitting data to system,Data,Captain America,Captain America,Avengers,Service B,New,High,Low,Low,Low,2025-12-23T03:21:45.000000,,,0,1,Tuesday,1,,,,0,2025-52
CR-32712,Barcode scanner not transmitting data to system,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,High,High,Low,2025-12-23T22:08:35.000000,2025-12-24T00:08:35.000000,2025-12-24T08:08:35.000000,1,3,Tuesday,0,2.0,8.0,10.0,0,2025-52
CR-32713,Single sign-on not working for cloud application,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-12-23T14:40:14.000000,2025-12-23T21:40:14.000000,2025-12-25T05:40:14.000000,0,2,Tuesday,1,7.0,32.0,39.0,1,2025-52
CR-32714,Network printer not visible in device list,Software,Loki,Loki,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-12-23T11:27:07.000000,2025-12-23T13:27:07.000000,2025-12-24T17:27:07.000000,0,1,Tuesday,1,2.0,28.0,30.0,1,2025-52
CR-32715,Multiple users experiencing Outlook crashes,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,New,High,High,High,High,2025-12-23T17:09:38.000000,,,0,2,Tuesday,1,,,,0,2025-52
CR-32716,Unexpected application log errors after deployment,Software,Loki,Loki,Avengers,Service A,Closed,High,Critical,High,Medium,2025-12-23T05:08:02.000000,2025-12-23T12:08:02.000000,2025-12-23T19:08:02.000000,0,3,Tuesday,1,7.0,7.0,14.0,1,2025-52
CR-32717,Multiple users experiencing Outlook crashes,Failure,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,High,Medium,Low,2025-12-23T22:18:17.000000,2025-12-24T02:18:17.000000,2025-12-24T22:18:17.000000,0,3,Tuesday,1,4.0,20.0,24.0,1,2025-52
CR-32718,User unable to open encrypted email,Data,Batman,Batman,Matrix,Service B,Closed,Medium,High,High,High,2025-12-23T03:26:18.000000,2025-12-23T11:26:18.000000,2025-12-23T19:26:18.000000,0,3,Tuesday,1,8.0,8.0,16.0,0,2025-52
CR-32719,Incorrect permissions on shared folder causing access denied,Data,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Low,Low,Low,2025-12-23T15:36:00.000000,2025-12-23T19:36:00.000000,2025-12-26T11:36:00.000000,0,1,Tuesday,1,4.0,64.0,68.0,1,2025-52
CR-32720,Auto-save not working in productivity application,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,High,High,High,2025-12-23T17:41:15.000000,2025-12-24T00:41:15.000000,2025-12-24T07:41:15.000000,0,2,Tuesday,1,7.0,7.0,14.0,0,2025-52
CR-32721,User unable to log in to corporate VPN,Access,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,High,High,High,2025-12-23T08:36:42.000000,2025-12-23T12:36:42.000000,2025-12-23T18:36:42.000000,0,3,Tuesday,1,4.0,6.0,10.0,0,2025-52
CR-32722,Unexpected high memory usage on web server,Network,Thor,Thor,Avengers,Service B,Closed,Low,Critical,High,Medium,2025-12-23T00:13:25.000000,2025-12-23T06:13:25.000000,2025-12-23T17:13:25.000000,0,5,Tuesday,1,6.0,11.0,17.0,1,2025-52
CR-32723,Multiple users experiencing Outlook crashes,Facilities,Iron Man,Iron Man,Avengers,Service C,Closed,High,Critical,High,Medium,2025-12-24T14:17:14.000000,2025-12-24T18:17:14.000000,2025-12-25T06:17:14.000000,0,4,Wednesday,1,4.0,12.0,16.0,1,2025-52
CR-32724,Application response time extremely slow for multiple users,Software,Captain America,Captain America,Avengers,Service C,Closed,Low,High,High,High,2025-12-24T11:03:54.000000,2025-12-24T16:03:54.000000,2025-12-25T09:03:54.000000,0,3,Wednesday,1,5.0,17.0,22.0,1,2025-52
CR-32725,Printer not printing documents from any workstation,Software,John Wick,John Wick,Matrix,Service B,Closed,Low,Medium,Low,Medium,2025-12-24T08:17:52.000000,2025-12-24T10:17:52.000000,2025-12-25T12:17:52.000000,0,1,Wednesday,1,2.0,26.0,28.0,1,2025-52
CR-32726,User’s mailbox not receiving external emails,Data,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Critical,High,High,2025-12-24T07:44:07.000000,2025-12-24T11:44:07.000000,2025-12-24T12:44:07.000000,0,3,Wednesday,1,4.0,1.0,5.0,0,2025-52
CR-32727,Network latency observed between data center and branch office,Failure,Thor,Thor,Avengers,Service B,Closed,Low,Low,Low,Low,2025-12-24T07:40:20.000000,2025-12-24T09:40:20.000000,2025-12-25T14:40:20.000000,0,1,Wednesday,1,2.0,29.0,31.0,0,2025-52
CR-32728,Intermittent connectivity issues to file server,Software,Hulk,Hulk,Avengers,Service A,Closed,Low,High,High,Medium,2025-12-24T00:56:15.000000,2025-12-24T08:56:15.000000,2025-12-24T15:56:15.000000,0,2,Wednesday,1,8.0,7.0,15.0,0,2025-52
CR-32729,Single sign-on not working for cloud application,Network,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-12-24T21:32:47.000000,2025-12-24T23:32:47.000000,2025-12-26T02:32:47.000000,0,1,Wednesday,1,2.0,27.0,29.0,1,2025-52
CR-32730,User home drive not mapping at login,Hardware,Spiderman,Spiderman,Avengers II,Service C,Closed,High,Low,Low,Low,2025-12-24T02:00:07.000000,2025-12-24T04:00:07.000000,2025-12-26T05:00:07.000000,0,1,Wednesday,1,2.0,49.0,51.0,1,2025-52
CR-32731,User unable to access HR portal,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-12-24T11:40:27.000000,2025-12-24T13:40:27.000000,2025-12-25T09:40:27.000000,0,2,Wednesday,1,2.0,20.0,22.0,0,2025-52
CR-32732,Time synchronization issue causing authentication failures,Network,Loki,Loki,Avengers,Service C,Closed,Low,Medium,Medium,Low,2025-12-24T08:14:37.000000,2025-12-24T14:14:37.000000,2025-12-25T13:14:37.000000,0,2,Wednesday,1,6.0,23.0,29.0,0,2025-52
CR-32733,Unexpected high memory usage on web server,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,New,Medium,Critical,High,Medium,2025-12-24T09:46:04.000000,,,0,4,Wednesday,1,,,,0,2025-52
CR-32734,File restore from backup failed for requested folder,Network,Hulk,Hulk,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-12-24T19:12:35.000000,2025-12-25T02:12:35.000000,2025-12-25T20:12:35.000000,0,1,Wednesday,1,7.0,18.0,25.0,0,2025-52
CR-32735,Incorrect data displayed in reporting dashboard,Access,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,High,Medium,High,2025-12-24T12:32:51.000000,2025-12-24T20:32:51.000000,2025-12-25T10:32:51.000000,0,3,Wednesday,1,8.0,14.0,22.0,1,2025-52
CR-32736,File restore from backup failed for requested folder,Facilities,John Cena,John Cena,Matrix,Service B,Closed,Low,Medium,Low,Medium,2025-12-24T05:41:05.000000,2025-12-24T09:41:05.000000,2025-12-25T20:41:05.000000,0,2,Wednesday,1,4.0,35.0,39.0,1,2025-52
CR-32737,Old password still granting access to system,Complaint,Shang Chi,Shang Chi,Avengers II,Service C,On Hold,Low,Medium,Low,Medium,2025-12-24T14:10:42.000000,,,0,2,Wednesday,1,,,,0,2025-52
CR-32738,User unable to access HR portal,Complaint,Thor,Thor,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-12-24T14:56:01.000000,2025-12-24T19:56:01.000000,2025-12-25T11:56:01.000000,1,2,Wednesday,0,5.0,16.0,21.0,0,2025-52
CR-32739,Frequent disconnections from remote desktop session,Data,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-12-24T21:40:04.000000,2025-12-25T02:40:04.000000,2025-12-26T02:40:04.000000,0,2,Wednesday,1,5.0,24.0,29.0,0,2025-52
CR-32740,Frequent disconnections from remote desktop session,Facilities,Batman,Batman,Matrix,Service A,Closed,Medium,Low,Low,Low,2025-12-24T13:27:37.000000,2025-12-24T19:27:37.000000,2025-12-26T22:27:37.000000,0,1,Wednesday,1,6.0,51.0,57.0,1,2025-52
CR-32741,User not receiving password reset email,Data,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Critical,High,Medium,2025-12-24T09:58:42.000000,2025-12-24T17:58:42.000000,2025-12-25T02:58:42.000000,0,3,Wednesday,1,8.0,9.0,17.0,1,2025-52
CR-32742,User unable to log in to corporate VPN,Failure,Captain America,Captain America,Avengers,Service B,On Hold,Medium,Medium,Medium,Low,2025-12-24T01:58:19.000000,,,0,2,Wednesday,1,,,,0,2025-52
CR-32743,User unable to log in to corporate VPN,Software,Loki,Loki,Avengers,Service B,Closed,Low,Critical,High,High,2025-12-24T19:46:00.000000,2025-12-25T01:46:00.000000,2025-12-25T11:46:00.000000,0,3,Wednesday,1,6.0,10.0,16.0,1,2025-52
CR-32744,Endpoint not checking in with management server,Network,John Cena,John Cena,Matrix,Service A,Closed,Low,Medium,Low,Medium,2025-12-24T03:34:42.000000,2025-12-24T09:34:42.000000,2025-12-25T03:34:42.000000,0,2,Wednesday,1,6.0,18.0,24.0,0,2025-52
CR-32745,Intermittent packet loss on WAN link,Facilities,Hulk,Hulk,Avengers,Service B,Closed,High,Critical,High,High,2025-12-24T02:32:21.000000,2025-12-24T09:32:21.000000,2025-12-24T20:32:21.000000,0,5,Wednesday,1,7.0,11.0,18.0,1,2025-52
CR-32746,User account locked after multiple failed login attempts,Hardware,Captain America,Captain America,Avengers,Service B,Closed,Medium,High,Medium,Low,2025-12-24T16:21:02.000000,2025-12-24T21:21:02.000000,2025-12-25T16:21:02.000000,0,2,Wednesday,1,5.0,19.0,24.0,1,2025-52
CR-32747,VoIP phone not registering with call manager,Failure,Hulk,Hulk,Avengers,Service B,Closed,High,Critical,High,High,2025-12-24T17:11:01.000000,2025-12-25T01:11:01.000000,2025-12-25T10:11:01.000000,0,4,Wednesday,1,8.0,9.0,17.0,1,2025-52
CR-32748,Corrupt file detected in document management system,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,High,High,High,2025-12-24T03:40:34.000000,2025-12-24T06:40:34.000000,2025-12-24T15:40:34.000000,1,2,Wednesday,0,3.0,9.0,12.0,1,2025-52
CR-32749,Firewall blocking legitimate traffic to partner system,Hardware,Iron Man,Iron Man,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-12-24T10:02:39.000000,2025-12-24T18:02:39.000000,2025-12-25T16:02:39.000000,0,1,Wednesday,1,8.0,22.0,30.0,0,2025-52
CR-32750,User account locked after multiple failed login attempts,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,Medium,Medium,Low,2025-12-24T01:33:36.000000,2025-12-24T05:33:36.000000,2025-12-25T01:33:36.000000,0,1,Wednesday,1,4.0,20.0,24.0,0,2025-52
CR-32751,Antivirus alert triggered on user workstation,Complaint,Thor,Thor,Avengers,Service B,Closed,High,High,High,Medium,2025-12-24T08:32:26.000000,2025-12-24T15:32:26.000000,2025-12-25T06:32:26.000000,1,3,Wednesday,0,7.0,15.0,22.0,1,2025-52
CR-32752,Corrupt file detected in document management system,Complaint,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,High,High,High,2025-12-24T09:31:39.000000,2025-12-24T11:31:39.000000,2025-12-25T09:31:39.000000,1,3,Wednesday,0,2.0,22.0,24.0,1,2025-52
CR-32753,Incorrect group membership causing access escalation,Data,Hulk,Hulk,Avengers,Service A,Closed,Medium,High,High,High,2025-12-24T23:14:09.000000,2025-12-25T04:14:09.000000,2025-12-26T00:14:09.000000,0,2,Wednesday,1,5.0,20.0,25.0,1,2025-52
CR-32754,Network outage in specific office floor,Failure,Thor,Thor,Avengers,Service B,In Progress,Medium,Critical,High,Medium,2025-12-24T15:52:25.000000,2025-12-24T21:52:25.000000,,1,3,Wednesday,0,6.0,,,0,2025-52
CR-32755,Multi-factor authentication code not delivered to user,Data,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Low,Low,Low,2025-12-24T20:20:00.000000,2025-12-25T02:20:00.000000,2025-12-27T05:20:00.000000,0,1,Wednesday,1,6.0,51.0,57.0,1,2025-52
CR-32756,Broken link on intranet home page,Hardware,Thor,Thor,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-12-24T04:24:18.000000,2025-12-24T07:24:18.000000,2025-12-26T02:24:18.000000,0,0,Wednesday,1,3.0,43.0,46.0,0,2025-52
CR-32757,Time synchronization issue causing authentication failures,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-12-24T05:31:52.000000,2025-12-24T08:31:52.000000,2025-12-25T05:31:52.000000,0,1,Wednesday,1,3.0,21.0,24.0,0,2025-52
CR-32758,Corrupted email attachments received internally,Facilities,Loki,Loki,Avengers,Service C,Closed,High,Critical,High,High,2025-12-24T09:13:07.000000,2025-12-24T16:13:07.000000,2025-12-24T18:13:07.000000,0,5,Wednesday,1,7.0,2.0,9.0,0,2025-52
CR-32759,Unexpected high memory usage on web server,Access,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,Critical,High,Medium,2025-12-24T21:05:37.000000,2025-12-25T00:05:37.000000,2025-12-25T11:05:37.000000,0,4,Wednesday,1,3.0,11.0,14.0,1,2025-52
CR-32760,Data export from system failing with error,Facilities,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Critical,High,High,2025-12-24T03:23:28.000000,2025-12-24T08:23:28.000000,2025-12-24T20:23:28.000000,0,3,Wednesday,1,5.0,12.0,17.0,1,2025-52
CR-32761,Frequent disconnections from remote desktop session,Data,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-12-24T20:45:25.000000,2025-12-24T22:45:25.000000,2025-12-25T18:45:25.000000,0,2,Wednesday,1,2.0,20.0,22.0,0,2025-52
CR-32762,Application crash when user attempts specific function,Network,Thor,Thor,Avengers,Service A,Closed,Medium,Low,Low,Low,2025-12-24T04:26:47.000000,2025-12-24T12:26:47.000000,2025-12-26T23:26:47.000000,1,1,Wednesday,0,8.0,59.0,67.0,1,2025-52
CR-32763,Time synchronization issue causing authentication failures,Access,Captain America,Captain America,Avengers,Service A,Closed,Low,High,High,Low,2025-12-24T22:11:17.000000,2025-12-25T05:11:17.000000,2025-12-26T00:11:17.000000,0,2,Wednesday,1,7.0,19.0,26.0,1,2025-52
CR-32764,Corrupt file detected in document management system,Complaint,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Critical,High,High,2025-12-24T21:56:26.000000,2025-12-25T05:56:26.000000,2025-12-25T11:56:26.000000,0,5,Wednesday,1,8.0,6.0,14.0,1,2025-52
CR-32765,External website not reachable from corporate network,Data,Hulk,Hulk,Avengers,Service A,Closed,Low,Critical,High,High,2025-12-24T09:35:44.000000,2025-12-24T14:35:44.000000,2025-12-24T23:35:44.000000,0,4,Wednesday,1,5.0,9.0,14.0,1,2025-52
CR-32766,Incorrect permissions on shared folder causing access denied,Software,Loki,Loki,Avengers,Service A,Closed,High,Critical,High,High,2025-12-24T03:10:19.000000,2025-12-24T10:10:19.000000,2025-12-24T21:10:19.000000,0,3,Wednesday,1,7.0,11.0,18.0,1,2025-52
CR-32767,Broken link on intranet home page,Data,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Medium,Medium,Low,Medium,2025-12-24T08:03:23.000000,2025-12-24T16:03:23.000000,2025-12-25T10:03:23.000000,0,1,Wednesday,1,8.0,18.0,26.0,0,2025-52
CR-32768,Incorrect group membership causing access escalation,Network,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Low,Low,Low,2025-12-24T09:36:23.000000,2025-12-24T12:36:23.000000,2025-12-26T11:36:23.000000,0,1,Wednesday,1,3.0,47.0,50.0,0,2025-52
CR-32769,External website not reachable from corporate network,Failure,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Critical,High,High,2025-12-24T15:56:54.000000,2025-12-24T23:56:54.000000,2025-12-25T05:56:54.000000,0,4,Wednesday,1,8.0,6.0,14.0,1,2025-52
CR-32770,User account locked after multiple failed login attempts,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,Low,Low,Low,2025-12-24T08:16:38.000000,2025-12-24T11:16:38.000000,2025-12-26T18:16:38.000000,0,0,Wednesday,1,3.0,55.0,58.0,1,2025-52
CR-32771,New software installation failing on endpoint,Hardware,Loki,Loki,Avengers,Service B,Closed,Medium,High,High,Low,2025-12-24T18:51:44.000000,2025-12-25T00:51:44.000000,2025-12-25T14:51:44.000000,0,2,Wednesday,1,6.0,14.0,20.0,1,2025-52
CR-32772,Auto-save not working in productivity application,Data,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-12-24T00:44:24.000000,2025-12-24T08:44:24.000000,2025-12-24T23:44:24.000000,0,1,Wednesday,1,8.0,15.0,23.0,0,2025-52
CR-32773,Queue processing stuck in payment application,Software,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Critical,High,High,2025-12-24T20:51:25.000000,2025-12-25T01:51:25.000000,2025-12-25T07:51:25.000000,0,4,Wednesday,1,5.0,6.0,11.0,1,2025-52
CR-32774,Antivirus alert triggered on user workstation,Access,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-12-24T04:46:08.000000,2025-12-24T07:46:08.000000,2025-12-25T15:46:08.000000,0,2,Wednesday,1,3.0,32.0,35.0,1,2025-52
CR-32775,Database connection error in production application,Data,Captain America,Captain America,Avengers,Service B,Closed,High,Critical,High,High,2025-12-24T05:15:08.000000,2025-12-24T11:15:08.000000,2025-12-24T22:15:08.000000,0,5,Wednesday,1,6.0,11.0,17.0,1,2025-52
CR-32776,Network printer not visible in device list,Complaint,Thor,Thor,Avengers,Service B,Closed,Low,Critical,Medium,High,2025-12-24T06:20:22.000000,2025-12-24T13:20:22.000000,2025-12-25T00:20:22.000000,0,4,Wednesday,1,7.0,11.0,18.0,1,2025-52
CR-32777,User home drive not mapping at login,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,High,Low,Low,Low,2025-12-24T01:47:43.000000,2025-12-24T06:47:43.000000,2025-12-26T12:47:43.000000,1,0,Wednesday,0,5.0,54.0,59.0,1,2025-52
CR-32778,Unexpected reboot of application server,Failure,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,High,High,High,2025-12-24T12:53:59.000000,2025-12-24T19:53:59.000000,2025-12-25T18:53:59.000000,1,2,Wednesday,0,7.0,23.0,30.0,1,2025-52
CR-32779,User’s mailbox not receiving external emails,Data,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,High,High,2025-12-24T09:13:24.000000,2025-12-24T12:13:24.000000,2025-12-24T23:13:24.000000,0,4,Wednesday,1,3.0,11.0,14.0,1,2025-52
CR-32780,Application response time extremely slow for multiple users,Access,Captain America,Captain America,Avengers,Service C,Closed,Medium,Critical,High,High,2025-12-24T15:17:19.000000,2025-12-24T18:17:19.000000,2025-12-25T06:17:19.000000,0,5,Wednesday,1,3.0,12.0,15.0,1,2025-52
CR-32781,Single sign-on not working for cloud application,Failure,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,High,2025-12-24T02:39:16.000000,2025-12-24T05:39:16.000000,2025-12-24T14:39:16.000000,0,4,Wednesday,1,3.0,9.0,12.0,1,2025-52
CR-32782,User unable to open encrypted email,Hardware,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,High,High,High,2025-12-24T22:20:46.000000,2025-12-25T02:20:46.000000,2025-12-25T18:20:46.000000,0,2,Wednesday,1,4.0,16.0,20.0,1,2025-52
CR-32783,Unauthorized login attempt alert for admin account,Failure,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,High,Medium,Medium,2025-12-24T06:12:15.000000,2025-12-24T13:12:15.000000,2025-12-25T07:12:15.000000,0,3,Wednesday,1,7.0,18.0,25.0,1,2025-52
CR-32784,User unable to log in to corporate VPN,Hardware,Captain America,Captain America,Avengers,Service C,Closed,Low,Critical,High,High,2025-12-24T11:49:04.000000,2025-12-24T19:49:04.000000,2025-12-24T22:49:04.000000,0,4,Wednesday,1,8.0,3.0,11.0,0,2025-52
CR-32785,Incorrect display of currency values in front-end,Software,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-12-24T04:20:10.000000,2025-12-24T11:20:10.000000,2025-12-25T23:20:10.000000,0,0,Wednesday,1,7.0,36.0,43.0,0,2025-52
CR-32786,Barcode scanner not transmitting data to system,Network,John Wick,John Wick,Matrix,Service A,Closed,Medium,High,High,High,2025-12-24T14:45:12.000000,2025-12-24T19:45:12.000000,2025-12-25T05:45:12.000000,0,3,Wednesday,1,5.0,10.0,15.0,1,2025-52
CR-32787,USB device not recognized on workstation,Software,Thor,Thor,Avengers,Service B,Closed,Low,Low,Low,Low,2025-12-24T13:56:38.000000,2025-12-24T16:56:38.000000,2025-12-27T11:56:38.000000,0,1,Wednesday,1,3.0,67.0,70.0,1,2025-52
CR-32788,Scheduled report not generated or delivered,Data,Captain America,Captain America,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-12-24T12:48:50.000000,2025-12-24T15:48:50.000000,2025-12-25T16:48:50.000000,0,2,Wednesday,1,3.0,25.0,28.0,1,2025-52
CR-32789,Network outage in specific office floor,Access,Loki,Loki,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-12-24T14:44:04.000000,2025-12-24T22:44:04.000000,2025-12-26T00:44:04.000000,0,1,Wednesday,1,8.0,26.0,34.0,1,2025-52
CR-32790,Old password still granting access to system,Hardware,Batman,Batman,Matrix,Service C,Closed,High,Medium,Medium,Medium,2025-12-24T01:55:25.000000,2025-12-24T09:55:25.000000,2025-12-25T11:55:25.000000,0,2,Wednesday,1,8.0,26.0,34.0,1,2025-52
CR-32791,Intermittent connectivity issues to file server,Failure,John Cena,John Cena,Matrix,Service B,New,Medium,Low,Low,Low,2025-12-24T20:42:27.000000,,,0,1,Wednesday,1,,,,0,2025-52
CR-32792,Printer not printing documents from any workstation,Software,Captain America,Captain America,Avengers,Service B,Closed,High,Critical,High,High,2025-12-24T22:49:51.000000,2025-12-25T01:49:51.000000,2025-12-25T06:49:51.000000,0,4,Wednesday,1,3.0,5.0,8.0,1,2025-52
CR-32793,Local profile corrupted on shared workstation,Complaint,John Cena,John Cena,Matrix,Service C,Closed,High,Low,Low,Low,2025-12-24T00:46:35.000000,2025-12-24T03:46:35.000000,2025-12-25T18:46:35.000000,0,0,Wednesday,1,3.0,39.0,42.0,0,2025-52
CR-32794,User unable to open encrypted email,Access,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Critical,High,High,2025-12-24T08:29:23.000000,2025-12-24T10:29:23.000000,2025-12-24T22:29:23.000000,0,3,Wednesday,1,2.0,12.0,14.0,1,2025-52
CR-32795,Unexpected high memory usage on web server,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,High,High,2025-12-24T14:50:31.000000,2025-12-24T21:50:31.000000,2025-12-25T08:50:31.000000,0,5,Wednesday,1,7.0,11.0,18.0,1,2025-52
CR-32796,Database connection error in production application,Network,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Medium,Low,Low,2025-12-24T15:34:47.000000,2025-12-24T21:34:47.000000,2025-12-26T06:34:47.000000,1,1,Wednesday,0,6.0,33.0,39.0,1,2025-52
CR-32797,Multi-factor authentication code not delivered to user,Hardware,Thor,Thor,Avengers,Service C,Closed,High,Critical,High,High,2025-12-24T03:25:49.000000,2025-12-24T11:25:49.000000,2025-12-24T19:25:49.000000,0,3,Wednesday,1,8.0,8.0,16.0,1,2025-52
